"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"9372196","19910124","199101","1991","1991.0658","GOV","PRESIDENT","","","","","","GOV","","","GOVMIL","DEFENSE MINIST","","","","","","GOV","MIL","",,"1411","141","14","3","-6.5","4","1","4","5.193483","4","Leningrad, Sankt-Peterburg, Russia","RS","RS66","59.8944","30.2642","-2996338","4","Leningrad, Sankt-Peterburg, Russia","RS","RS66","59.8944","30.2642","-2996338","4","Leningrad, Sankt-Peterburg, Russia","RS","RS66","59.8944","30.2642","-2996338","20130203",
"6185996","19870723","198707","1987","1987.5562","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","3.1545742","1","Pakistan","PK","PK","30.0","70.0","0","1","Pakistan","PK","PK","30.0","70.0","0","1","Pakistan","PK","PK","30.0","70.0","0","20130203",
"19386546","19970412","199704","1997","1997.2795","FRA","PARIS","FRA","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","5.940594","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","20130203",
"16879122","19960711","199607","1996","1996.5233","IND","NEW DELHI","IND","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","6","1","6","5.673759","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","20130203",
"16880433","19960711","199607","1996","1996.5233","LEG","CONGRESS","","","","","","LEG","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","5.673759","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","4","Delhi, Delhi, India","IN","IN07","28.6667","77.2167","-2094230","20130203",
"11132650","19920902","199209","1992","1992.663","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","7","1","7","7.0833335","0","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","0","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","4","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","20130203",
"8805222","19900628","199006","1990","1990.4877","GOV","PRESIDENT","","","","","","GOV","","","BGD","BANGLADESH","BGD","","","","","","","",,"1411","141","14","3","-6.5","1","1","1","5.2197804","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","20130203",
"8805224","19900628","199006","1990","1990.4877","GOV","PRESIDENT","","","","","","GOV","","","BUS","BUSINESS","","","","","","BUS","","",,"1411","141","14","3","-6.5","3","1","3","5.2197804","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","20130203",
"18230106","19961208","199612","1996","1996.926","SCGSRB","SERBIA","SRB","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","4.1853514","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"18230107","19961208","199612","1996","1996.926","SCGSRB","SERBIA","SRB","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","6","1","6","4.1853514","1","Serbia","RI","RI","43.75","20.75","0","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","1","Serbia","RI","RI","43.75","20.75","0","20130203",
"8996678","19900907","199009","1990","1990.6768","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","2","1","2","6.3147974","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311",,"","","","0.0","0.0","0","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20130203",
"8996740","19900907","199009","1990","1990.6768","GOV","PRESIDENT","","","","","","GOV","","","HTI","HAITI","HTI","","","","","","","",,"1411","141","14","3","-6.5","1","1","1","6.3147974","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20130203",
"8998190","19900907","199009","1990","1990.6768","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","6.3147974","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20130203",
