"actor1geo_countrycode","actor2geo_countrycode","cnt"
"BO","TI","1886"
"GM","TH","1886"
"DJ","SU","1885"
"BU","HR","1882"
"RB","MK","1882"
"TS","IR","1881"
"NU","RS","1878"
"VM","IR","1877"
"SU","YM","1877"
"SP","SA","1876"
"SN","CE","1875"
"IZ","BU","1875"
"SO","ER","1875"
"CA","TW","1875"
"YM","TU","1874"
"IN","NZ","1873"
"AU","RO","1871"
"IT","ER","1869"
"SA","AS","1869"
"ET","IT","1868"
"US","WA","1866"
"JO","PK","1864"
"TX","KG","1863"
"SZ","IZ","1862"
"AU","AM","1861"
"SN","CA","1861"
"SO","CA","1858"
"NI","IV","1856"
"SU","DJ","1855"
"LE","CQ","1855"
"PK","NI","1853"
"US","OS","1853"
"GA","US","1851"
"UP","TX","1849"
"PE","AS","1849"
"KZ","PK","1849"
"BB","US","1847"
"TU","KS","1847"
"CM","US","1847"
"AU","AJ","1846"
"IR","CE","1844"
"NI","PK","1841"
"CE","IR","1841"
"ZA","KE","1841"
"TI","BO","1840"
"KS","TU","1839"
"TT","PO","1839"
"AF","ID","1838"
"JA","BE","1838"
"LI","CH","1837"
"UK","CQ","1837"
"TZ","ZI","1835"
"HR","BU","1835"
"IR","VM","1835"
"BE","LY","1834"
"JM","TD","1834"
"IZ","MY","1833"
"CU","EC","1833"
"HR","AU","1830"
"","VC","1829"
"LY","GR","1827"
"CB","BX","1827"
"UV","GH","1826"
"CA","SN","1826"
"AU","SP","1824"
"BO","PK","1823"
"AU","NL","1823"
"TI","AM","1823"
"CH","DJ","1822"
"CH","RB","1822"
"US","WS","1821"
"IT","KE","1820"
"CA","LE","1819"
"PO","GR","1818"
"BU","IZ","1818"
"LU","US","1816"
"UG","CT","1816"
"BG","AF","1815"
"PK","JO","1814"
"PK","KZ","1814"
"BE","PO","1813"
"MY","GM","1813"
"GG","TU","1812"
"US","BB","1812"
"AF","BG","1811"
"CV","","1810"
"TU","GG","1810"
"UG","ZA","1810"
"WS","NZ","1809"
"IT","JO","1807"
"AO","CF","1806"
"UP","AU","1806"
"BC","ZA","1806"
"JA","NO","1806"
"RI","TU","1804"
"AJ","UZ","1803"
"NL","RP","1803"
"JO","TS","1802"
"BM","CB","1800"
"PK","BO","1799"
"IT","AM","1799"
"NZ","WS","1799"
"GM","AR","1799"
"RI","BU","1798"
"RS","MK","1798"
"CA","AE","1798"
"NO","SZ","1797"
"EI","NL","1796"
"RI","BE","1795"
"RS","BA","1794"
"JA","HK","1793"
"MU","IS","1793"
"NL","IN","1792"
"MK","GM","1792"
"TW","CA","1791"
"SZ","AJ","1790"
"TU","BA","1790"
"AM","TI","1789"
"AJ","AU","1789"
"CG","AO","1789"
"SA","SP","1788"
"SZ","NO","1788"
"AF","YM","1787"
"CT","UG","1786"
"FR","ET","1786"
"UK","MI","1784"
"CH","LI","1784"
"ZA","UG","1783"
"US","LU","1783"
"NP","JA","1780"
"TH","IR","1779"
"SZ","RP","1778"
"MZ","US","1778"
"YM","AF","1777"
"TS","JO","1776"
"KE","IT","1776"
"BE","RB","1774"
"AF","GR","1774"
"UP","GG","1774"
"CY","BE","1773"
"ER","IT","1772"
"US","CG","1771"
"MX","IN","1770"
"BE","PK","1770"
"AF","LY","1769"
"IN","MX","1767"
"RB","CH","1766"
"NI","NL","1766"
"IZ","SZ","1764"
"JM","CU","1763"
"IR","OS","1762"
"DJ","CH","1762"
"VM","BM","1761"
"EI","PL","1761"
"RI","GR","1759"
"AE","JA","1755"
"KN","ID","1754"
"EC","CH","1752"
"BX","CB","1752"
"NI","TO","1752"
"NZ","KS","1752"
"ZI","TZ","1751"
"TO","NI","1751"
"NZ","IS","1750"
"VM","IS","1749"
"SE","CA","1748"
"BM","VM","1748"
"US","IV","1747"
"LE","CA","1746"
"CB","BM","1746"
"CE","SN","1745"
"BE","AS","1744"
"SO","LY","1743"
"FR","KZ","1741"
"ID","KN","1740"
"WS","US","1739"
"ET","FR","1739"
"LG","UP","1739"
"GM","GH","1739"
"KS","NZ","1738"
"KE","DJ","1737"
"DJ","KE","1735"
"NZ","IN","1735"
"UK","LH","1735"
"AF","NO","1734"
"NO","JA","1734"
"CD","CT","1734"
"IR","TH","1732"
"YM","CH","1731"
"MY","EG","1731"
"CG","US","1730"
"GR","CA","1729"
"","SH","1729"
"SZ","GR","1729"
"JO","IT","1729"
"SF","NZ","1728"
"IT","AG","1728"
"NI","GV","1727"
"NL","EI","1727"
"ER","EG","1727"
"TZ","SU","1727"
"RP","NL","1725"
"NZ","SF","1723"
"MG","KS","1723"
"EG","MY","1723"
"BA","YM","1723"
"SF","EI","1721"
"LY","SO","1720"
"AE","KS","1718"
"AS","BE","1716"
"RO","AU","1716"
"ZA","BC","1715"
"DA","TU","1715"
"KS","AE","1714"
"CI","RP","1713"
"RP","SZ","1712"
"PL","GR","1712"
"UK","SE","1712"
"RP","CI","1711"
"IN","KE","1711"
"AR","GM","1708"
"KN","PK","1707"
"RS","NZ","1706"
"TU","DA","1706"
"KU","RP","1705"
"CS","PM","1705"
"FR","KN","1703"
"SP","LE","1702"
"BM","AS","1702"
"LG","GM","1699"
"KE","IN","1698"
"EN","GM","1698"
"CA","SE","1697"
"DA","IT","1696"
"IS","VM","1695"
"RB","BE","1695"
"PL","AJ","1695"
"PK","BE","1694"
"CI","JA","1694"
"AG","IT","1692"
"AF","NL","1691"
"SU","RW","1690"
"FR","CI","1690"
"LY","BU","1690"
"AS","NO","1688"
"AM","AU","1688"
"NL","NO","1688"
"PM","CS","1688"
"GM","SU","1687"
"HU","AJ","1686"
"MI","UK","1686"
"BU","LY","1685"
"FR","HR","1685"
"BA","TU","1684"
"FR","MT","1683"
"EG","BE","1682"
"PO","BE","1682"
"KS","MG","1681"
"GM","MY","1680"
"RP","KU","1680"
"SZ","NL","1679"
"BE","EG","1678"
"GY","VE","1677"
"OS","IR","1676"
"PL","EI","1676"
"EI","EG","1675"
"HK","JA","1674"
"NO","NL","1673"
"SN","HK","1670"
"KZ","FR","1669"
"AJ","BE","1669"
"EN","UP","1669"
"LE","SP","1668"
"MT","FR","1668"
"SA","CE","1667"
"NL","SZ","1666"
"BM","LA","1666"
"UV","IV","1665"
"SP","AU","1665"
"US","MZ","1664"
"IT","DA","1663"
"BU","SY","1663"
"TU","MO","1663"
"GM","EN","1662"
"RW","ZA","1662"
"US","BC","1661"
"SU","TZ","1660"
"JA","QA","1660"
"YM","BA","1659"
"","PS","1659"
"US","KV","1658"
"EI","SY","1658"
"KU","JA","1658"
"GH","GM","1658"
"FI","FR","1658"
"TU","BO","1657"
"SP","LY","1656"
"AQ","","1656"
"AE","MY","1655"
"RI","MJ","1655"
"MR","MO","1653"
"NI","AO","1653"
"ZI","MI","1653"
"EG","EI","1652"
"UP","LG","1652"
"RP","IS","1652"
"LH","UK","1651"
"CH","EC","1651"
"MO","NI","1648"
"VE","NU","1646"
"GM","NZ","1646"
"BE","SA","1646"
"EG","UG","1644"
"GM","LG","1644"
"CU","GM","1644"
"NZ","GM","1644"
"CF","AO","1644"
"UG","EG","1643"
"ZA","RW","1643"
"NI","UG","1643"
"BO","TU","1639"
"BC","US","1637"
"PL","IR","1637"
"AE","SN","1636"
"KN","FR","1636"
"NU","VE","1635"
"CA","GR","1635"
"CT","CD","1634"
"IT","CY","1633"
"LE","YM","1632"
"RW","BE","1632"
"LY","BE","1631"
"BG","RP","1630"
"LA","BM","1629"
"MO","TU","1628"
"SZ","AF","1628"
"HR","FR","1628"
"ZI","UG","1628"
"IN","CQ","1626"
"HR","CH","1625"
"SN","RS","1625"
"SE","UK","1624"
"IS","NZ","1624"
"AS","BG","1624"
"UG","NI","1623"
"AR","CA","1622"
"SF","AE","1622"
"VE","PM","1621"
"GR","PL","1621"
"NL","AU","1620"
"UK","AO","1620"
"FR","CE","1619"
"MO","MR","1618"
"FR","GB","1618"
"JA","NI","1618"
"MK","RS","1617"
"MX","KS","1616"
"UP","EN","1615"
"SU","JO","1615"
"CU","JM","1614"
"US","ER","1613"
"IV","UV","1613"
"LG","BO","1613"
"AU","LO","1613"
"VE","GY","1612"
"VE","FR","1612"
"JO","SU","1611"
"LY","AF","1611"
"LO","UK","1610"
"RP","BG","1609"
"MO","IZ","1609"
"AO","RW","1608"
"GB","FR","1606"
"FR","FI","1606"
"KS","MX","1605"
"NZ","RS","1605"
"NO","IR","1604"
"SG","ML","1604"
"IS","RP","1603"
"SN","AE","1599"
"SL","GH","1598"
"AM","IT","1598"
"IS","MU","1597"
"IN","SW","1597"
"FR","AO","1596"
"AF","SZ","1596"
"WE","FR","1595"
"YM","LE","1594"
"GH","SL","1594"
"CY","IT","1592"
"BA","RS","1592"
"SY","BU","1591"
"AE","SF","1591"
"GL","US","1590"
"PM","VE","1590"
"EZ","TU","1590"
"PL","AM","1589"
"AO","NI","1589"
"BX","LA","1588"
"IV","US","1588"
"IT","KS","1587"
"SF","SO","1587"
"FR","MR","1587"
"SW","SP","1586"
"KE","ZI","1586"
"UP","GR","1585"
"CI","UY","1584"
"NI","MO","1584"
"MZ","CH","1584"
"GR","SZ","1583"
"LA","JA","1581"
"SZ","YM","1580"
"CU","IS","1580"
"AG","QA","1580"
"ID","LA","1577"
"GM","CU","1576"
"GV","NI","1576"
"NP","AS","1575"
"EI","SF","1573"
"BE","MK","1572"
"IR","PL","1571"
"FR","VE","1571"
"MY","AE","1570"
"UK","LO","1570"
"IT","RB","1570"
"GM","KZ","1570"
"US","GL","1569"
"TH","NZ","1568"
"LA","BX","1568"
"HK","SN","1568"
"UK","WE","1567"
"MI","ZI","1565"
"SP","SW","1564"
"NO","AS","1564"
"MU","PK","1563"
"GM","CY","1563"
"JA","DA","1562"
"AO","UK","1561"
"WE","UK","1561"
"DA","JA","1561"
"PK","MU","1561"
"LY","PK","1559"
"SA","BE","1559"
"RS","SN","1558"
"CO","BL","1558"
"CE","FR","1557"
"CH","MZ","1557"
"IZ","MO","1556"
"CQ","IN","1556"
"MX","NU","1555"
"QA","JA","1555"
"UK","LG","1555"
"ZI","KE","1554"
"MP","IN","1554"
"GR","UP","1554"
"KV","US","1553"
"SW","SF","1553"
"","FP","1552"
"SC","","1551"
"FR","WE","1550"
"LE","BA","1550"
"BR","NI","1550"
"SA","ET","1549"
"NC","","1549"
"CA","AR","1549"
"","CN","1549"
"GQ","JA","1548"
"UY","CI","1547"
"JA","KU","1547"
"CE","SA","1547"
"MJ","RI","1547"
"SY","EI","1546"
"DA","SY","1546"
"SW","JA","1546"
"TU","EZ","1545"
"LH","AM","1545"
"CU","JA","1543"
"UK","MK","1541"
"RW","CH","1541"
"LE","CH","1540"
"NL","LU","1540"
"KS","IT","1538"
"BA","LE","1537"
"KS","UZ","1536"
"VM","BO","1535"
"RW","SU","1535"
"IN","MP","1534"
"SF","CF","1534"
"LU","NL","1532"
"AJ","SZ","1531"
"SW","AF","1531"
"","KR","1531"
"CM","NG","1529"
"LY","MR","1528"
"NO","TU","1527"
"GM","CE","1527"
"PM","TW","1526"
"NZ","TH","1526"
"NI","BR","1524"
"RS","TW","1524"
"VE","CI","1523"
"JA","PL","1522"
"IV","ML","1521"
"SU","GM","1521"
"MD","AJ","1521"
"LU","GR","1520"
"CH","HR","1519"
"CY","GM","1519"
"CI","VE","1518"
"NU","MX","1518"
"QA","AG","1518"
"SA","SF","1517"
"BO","LG","1517"
"TU","AG","1517"
"NP","MV","1517"
"MR","LY","1516"
"JA","CI","1516"
"BO","MD","1515"
"SF","SA","1514"
"ML","IV","1514"
"SF","SW","1513"
"FI","TU","1513"
"RB","IT","1513"
"ER","US","1512"
"ML","SG","1512"
"SW","IN","1512"
"GR","RB","1512"
"IN","TW","1511"
"AJ","MD","1511"
"AJ","PL","1511"
"NL","PL","1510"
"SF","SG","1510"
"BE","HR","1509"
"LY","SP","1508"
"BO","VM","1507"
"IC","RS","1506"
"SG","GV","1505"
"JA","LA","1504"
"PL","JA","1503"
"KS","CB","1502"
"UZ","KS","1502"
"PM","CH","1500"
"CF","SF","1500"
"JA","CU","1499"
"JA","GQ","1497"
"IR","BU","1496"
"CH","RW","1495"
"PK","KG","1493"
"FR","UG","1491"
"RP","MX","1490"
"SY","DA","1488"
"SP","IN","1485"
"SA","VE","1485"
"SF","TU","1484"
"SP","AF","1483"
"WE","SY","1483"
"IS","CU","1483"
"CH","JM","1483"
"LA","ID","1482"
"MY","LA","1481"
"AJ","TI","1481"
"","CV","1481"
"TU","NO","1480"
"BG","AS","1480"
"MD","BO","1479"
"RS","MO","1478"
"AG","NG","1478"
"NG","CM","1478"
"IR","SO","1478"
"MV","NP","1476"
"TH","NP","1475"
"LO","AU","1474"
"GA","UK","1473"
"CH","LE","1473"
"MY","SF","1473"
"SF","MY","1473"
"AS","HK","1472"
"DA","IZ","1471"
"AA","US","1471"
"KG","PK","1469"
"CA","RW","1468"
"ET","SA","1468"
"JM","HA","1468"
"SP","JO","1468"
"DA","PL","1466"
"AS","NP","1464"
"AS","LY","1464"
"MX","RP","1464"
"CH","PM","1463"
"SF","TW","1463"
"BU","IR","1463"
"VM","AF","1463"
"VE","SA","1462"
"FR","BA","1461"
"IN","SP","1460"
"BF","HA","1460"
"BL","CO","1460"
"AO","FR","1458"
"CE","GM","1458"
"CE","IS","1457"
"SN","GM","1457"
"RP","QA","1456"
"EZ","AM","1456"
"RO","AJ","1454"
"VE","IS","1453"
"YM","SZ","1453"
"NI","JA","1451"
"LA","MY","1451"
"HK","AS","1450"
"IN","BA","1449"
"ET","GH","1448"
"KS","IS","1448"
"UK","GA","1447"
"GH","ET","1446"
"SW","EN","1446"
"KU","AF","1446"
"MO","IR","1444"
"UG","FR","1444"
"CB","KS","1443"
"PL","NL","1443"
"IR","BL","1443"
"MO","RS","1442"
"EZ","AJ","1441"
"JA","SW","1441"
"IR","NO","1441"
"IS","RW","1439"
"ET","LY","1438"
"TI","AJ","1438"
"BR","HO","1437"
"LY","UG","1437"
"SG","SF","1437"
"MD","AM","1437"
"TS","LE","1436"
"BD","UK","1436"
"TW","RS","1435"
"KZ","GM","1435"
"LO","UP","1434"
"EN","SW","1434"
"SP","RO","1433"
"DA","SP","1433"
"NZ","AF","1431"
"RS","PE","1431"
"UK","VE","1430"
"AJ","HU","1430"
"NZ","TN","1428"
"SF","IV","1428"
"QA","IT","1428"
"","VI","1427"
"JM","CH","1426"
"AF","KU","1426"
"SF","PK","1426"
"TU","EI","1425"
"TU","FI","1424"
"RS","IC","1424"
"AS","NI","1424"
"RB","GR","1424"
"KE","AS","1423"
"SF","ID","1421"
"PE","RS","1421"
"GM","BG","1419"
"GM","CI","1419"
"SO","SF","1418"
"GM","SN","1418"
"OS","UP","1417"
"US","BY","1417"
"AS","KE","1416"
"MR","FR","1416"
"CH","BA","1416"
"BG","IR","1415"
"IZ","RO","1415"
"RO","HR","1414"
"RI","BK","1414"
"GV","PU","1412"
"FJ","UK","1411"
"ZI","IR","1411"
"HU","RB","1411"
"GM","TW","1411"
"TW","SF","1410"
"AO","UG","1410"
"CA","GH","1410"
"DA","AF","1410"
"LE","TS","1410"
"VM","EZ","1409"
"GR","HR","1409"
"NP","TH","1409"
"CF","FR","1408"
"LY","AS","1407"
"MK","UK","1407"
"LG","UK","1406"
"QA","RP","1406"
"VM","CE","1403"
"BN","GH","1403"
"AF","JO","1403"
"TU","RP","1402"
"RP","TU","1402"
"SP","EZ","1401"
"MT","CH","1401"
"UG","ZI","1400"
"AG","TU","1400"
"EZ","IR","1400"
"FR","RI","1399"
"TU","SF","1399"
"JO","AF","1397"
"BG","FR","1397"
"SO","IR","1397"
"SY","SO","1395"
"SO","SY","1395"
"EI","TU","1395"
"SW","UP","1394"
"SY","WE","1393"
"CU","SY","1393"
"AE","LY","1392"
"IR","BG","1391"
"NG","AG","1391"
"DA","IS","1391"
"EI","JA","1390"
"IT","MO","1387"
"LH","AJ","1386"
"IS","CE","1384"
"AF","VM","1384"
"FR","DJ","1384"
"FJ","BP","1384"
"UK","FJ","1383"
"BT","CE","1383"
"US","RM","1382"
"HO","BR","1381"
"RO","IZ","1381"
"IR","KE","1380"
"IZ","SO","1380"
"AL","CH","1380"
"PK","SF","1380"
"IS","KS","1379"
"RW","CA","1379"
"AE","SO","1377"
"AF","SP","1376"
"CH","BF","1376"
"AM","MD","1375"
"BO","TX","1375"
"BG","IT","1374"
"US","AA","1374"
"IR","EZ","1374"
"SF","IZ","1373"
"TN","NZ","1373"
"FR","PE","1373"
"SP","DA","1372"
"SG","GH","1371"
"AM","PL","1370"
"BF","CH","1370"
"BP","FJ","1370"
"SY","CU","1370"
"GM","ET","1370"
"LU","IT","1368"
"UK","BD","1367"
"CY","CH","1367"
"RW","AO","1367"
"HR","BE","1365"
"GH","BN","1365"
"HR","RO","1365"
"CB","UK","1365"
"CG","FR","1364"
"FR","CG","1364"
"UP","OS","1363"
"TU","TI","1362"
"UG","LY","1362"
"KT","","1361"
"DJ","ER","1361"
"UZ","UP","1360"
"BK","RI","1360"
"CS","CH","1360"
"JA","EI","1360"
"VE","UK","1360"
"GR","LU","1359"
"TW","IN","1359"
"CH","AL","1359"
"IT","BG","1358"
"US","SI","1358"
"UP","LO","1358"
"CH","MU","1358"
"GH","CA","1358"
"BE","AL","1357"
"GR","OS","1357"
"OC","US","1356"
"UP","UZ","1356"
"IT","QA","1355"
"LY","ET","1354"
"CE","VM","1354"
"KE","IR","1353"
"CS","CU","1352"
"IV","SF","1351"
"PK","RP","1350"
"EZ","PO","1348"
"ET","GM","1347"
"BA","IN","1347"
"TU","TH","1347"
"DR","CU","1347"
"NI","ID","1347"
"AM","LH","1345"
"IR","MO","1344"
"RB","HU","1344"
"IR","ZI","1344"
"RP","PK","1342"
"IT","LU","1342"
"GM","AG","1341"
"BR","HA","1340"
"TW","GM","1339"
"PP","FJ","1338"
"GH","SG","1338"
"GR","AJ","1337"
"AJ","RO","1336"
"HA","BF","1336"
"PE","FR","1336"
"IZ","TX","1334"
"ER","DJ","1333"
"DJ","FR","1333"
"ID","NI","1331"
"SO","IZ","1331"
"SU","KU","1331"
"TI","TU","1331"
"ZI","RW","1330"
"FR","BG","1330"
"FJ","PP","1326"
"TU","KE","1325"
"TU","RB","1325"
"GH","GA","1325"
"IZ","AM","1324"
"CE","BT","1324"
"SN","IS","1323"
"CA","VE","1323"
"CH","MT","1322"
"SW","SZ","1322"
"RM","US","1322"
"RB","TU","1322"
"KE","TU","1321"
"MK","BE","1320"
"IN","YM","1320"
"CA","SU","1320"
"ML","CH","1318"
"BM","KN","1318"
"SZ","SW","1317"
"UK","CB","1317"
"CA","RO","1317"
"EZ","VM","1316"
"TZ","MI","1316"
"FR","GV","1316"
"UP","SW","1315"
"PL","DA","1314"
"GV","SG","1314"
"UK","RI","1314"
"HU","SW","1313"
"AG","JO","1312"
"AF","NZ","1311"
"BL","PA","1311"
"BG","GM","1311"
"OS","GR","1310"
"SW","AU","1309"
"LE","SZ","1309"
"TX","BO","1309"
"AJ","GR","1308"
"TH","TU","1308"
"MU","CH","1308"
"ES","CU","1307"
"CQ","IR","1306"
"ID","SF","1306"
"BT","PK","1305"
"US","OC","1304"
"NO","IT","1304"
"CU","DR","1303"
"RO","SP","1303"
"PE","CU","1302"
"JO","SP","1301"
"BY","US","1301"
"SF","HA","1301"
"FI","PL","1301"
"JA","KZ","1301"
"IT","NO","1300"
"CA","AM","1300"
"CE","AF","1299"
"AS","JO","1298"
"CY","IR","1298"
"AF","CE","1295"
"SG","MR","1295"
"EI","IN","1295"
"SI","US","1294"
"RI","FR","1294"
"PO","NL","1294"
"CH","CY","1294"
"RW","IS","1293"
"","AV","1292"
"AU","RI","1292"
"NP","AF","1291"
"CH","ML","1291"
"EZ","SP","1291"
"UG","AO","1290"
"IT","CI","1290"
"US","MN","1289"
"AJ","EZ","1288"
"FR","CF","1287"
"MU","JO","1287"
"AS","SO","1286"
"SZ","MX","1286"
"CU","PE","1284"
"BU","RB","1284"
"MO","IT","1284"
"RO","AL","1283"
"GV","FR","1283"
"AG","GM","1283"
"KS","EG","1282"
"IZ","SF","1279"
"NL","PO","1279"
"AF","NP","1279"
"AM","IZ","1278"
"AC","US","1278"
"IZ","DA","1278"
"PA","BL","1276"
"PP","ID","1275"
"BA","FR","1275"
"MR","SG","1275"
"TW","PM","1275"
"AM","EZ","1275"
"RB","YI","1273"
"IR","DA","1272"
"AS","QA","1270"
"IT","TH","1270"
"RB","BU","1270"
"HU","SY","1269"
"BY","SO","1269"
"BA","CH","1267"
"IT","GH","1266"
"AU","AL","1266"
"DA","IR","1266"
"SU","CT","1265"
"IS","KN","1265"
"US","CT","1264"
"KU","SU","1264"
"HA","JM","1264"
"TH","IT","1264"
"BL","IR","1264"
"HA","BR","1264"
"BG","VM","1263"
"AJ","OS","1262"
"UK","LI","1262"
"LA","RS","1262"
"GM","CO","1261"
"RO","CA","1261"
"NU","PM","1260"
"IR","CY","1260"
"RS","LA","1259"
"PK","BT","1259"
"YM","ER","1258"
"LG","AJ","1258"
"BX","RS","1258"
"SZ","LE","1258"
"MX","SZ","1258"
"PU","GV","1258"
"MX","BH","1257"
"GM","UZ","1256"
"JO","AG","1256"
"EC","SW","1255"
"AF","DA","1255"
"CO","CS","1254"
"NZ","MX","1252"
"CH","CS","1252"
"IR","CQ","1252"
"SZ","VM","1252"
"SY","AJ","1251"
"AJ","SY","1251"
"BE","BO","1251"
"TS","CH","1250"
"CQ","KE","1250"
"AJ","LH","1250"
"KZ","JA","1249"
"HR","GR","1249"
"CI","FR","1248"
"DA","IC","1248"
"SZ","CY","1247"
"CT","SU","1247"
"SW","LG","1247"
"CO","GM","1246"
"SW","HU","1245"
"MX","NZ","1245"
"AS","WS","1244"
"PL","FI","1243"
"VM","BU","1243"
"LG","CH","1243"
"SF","SY","1243"
"NI","AS","1242"
"RS","BK","1242"
"SO","AE","1241"
"JO","MU","1239"
"BK","RS","1239"
"JA","GH","1238"
"CQ","CA","1237"
"EI","IR","1236"
"IT","RI","1236"
"AL","RO","1236"
"RP","BM","1235"
"CS","CO","1235"
"LY","UP","1234"
"BY","ET","1234"
"CM","CH","1234"
"BX","TW","1234"
"CU","ES","1234"
"UY","VE","1234"
"MU","IZ","1233"
"AU","SW","1232"
"IC","DA","1231"
"IN","EI","1230"
"CU","CS","1230"
"AF","SW","1229"
"KS","CE","1228"
"HU","VM","1227"
"IS","SN","1227"
"EG","KS","1227"
"VM","SZ","1226"
"BU","VM","1226"
"SU","CA","1225"
"AU","RB","1225"
"VM","HU","1223"
"CY","SZ","1222"
"TX","IZ","1221"
"TD","UK","1221"
"NH","FJ","1221"
"SE","CH","1221"
"SP","NI","1220"
"AS","ZI","1219"
"ID","PP","1219"
"GM","SO","1218"
"MN","US","1218"
"BE","NO","1217"
"LY","ER","1217"
"TH","AE","1216"
"ET","BY","1216"
"RS","BX","1216"
"NI","UV","1216"
"VM","SF","1215"
"HA","SF","1214"
"MI","TZ","1212"
"TD","VE","1212"
"RO","RI","1212"
"OS","AJ","1211"
"SH","US","1211"
"MY","QA","1211"
"","AQ","1210"
"AU","CA","1210"
"VM","MX","1209"
"JA","AJ","1209"
"MO","QA","1209"
"US","BT","1209"
"BE","LH","1207"
"KN","IS","1207"
"QA","AS","1207"
"GA","GH","1206"
"KN","BM","1206"
"JA","UZ","1206"
"CH","LG","1205"
"KE","CQ","1204"
"KZ","IN","1204"
"NZ","TU","1204"
"CA","CQ","1204"
"SZ","KN","1204"
"SZ","AE","1203"
"US","AC","1203"
"PM","NU","1202"
"MU","SY","1202"
"DA","PK","1201"
"EZ","AF","1201"
"CY","AM","1199"
"NH","AS","1199"
"YI","RB","1198"
"SN","KN","1198"
"UK","TD","1198"
"YM","IN","1197"
"AE","TH","1197"
"PL","HR","1196"
"ID","BR","1196"
"NL","LY","1195"
"NO","SP","1195"
"TH","IS","1194"
"UZ","GM","1194"
"UY","CH","1192"
"BM","RP","1192"
"UK","PM","1192"
"LY","AE","1192"
"AO","BC","1192"
"ER","YM","1191"
"SF","VM","1191"
"CH","TS","1191"
"GM","ML","1191"
"KS","BR","1190"
"JA","ET","1190"
"BE","VM","1189"
"RI","UK","1188"
"ET","TU","1188"
"BH","MX","1188"
"BT","US","1187"
"RS","ET","1187"
"JO","AS","1184"
"LG","SW","1184"
"IZ","MU","1184"
"SO","AS","1184"
"AL","BE","1184"
"KN","SW","1184"
"MX","VM","1184"
"ZI","AS","1183"
"CH","CM","1183"
"NI","TZ","1183"
"TZ","NI","1182"
"WS","AS","1181"
"EG","AU","1181"
"EC","CI","1181"
"SW","EZ","1180"
"SN","BG","1179"
"SZ","KS","1179"
"IR","EI","1179"
"AM","CA","1179"
"IN","KU","1177"
"PO","EZ","1177"
"","NC","1177"
"NO","BE","1177"
"VT","IS","1176"
"KU","IN","1176"
"LY","NL","1175"
"KN","SZ","1174"
"AG","NI","1174"
"OS","UK","1174"
"RS","SI","1174"
"SZ","QA","1174"
"NZ","EI","1172"
"NZ","IZ","1171"
"UK","BK","1171"
"AU","EG","1171"
"BR","ES","1171"
"IS","DA","1170"
"NG","UV","1170"
"IS","TH","1170"
"TU","BK","1170"
"CM","CT","1170"
"BB","UK","1169"
"GH","GV","1169"
"BC","AO","1169"
"VE","UY","1168"
"CT","US","1168"
"SF","MA","1167"
"CO","IS","1166"
"SZ","BR","1166"
"RP","IR","1165"
"VE","TD","1165"
"KN","IZ","1165"
"AU","SI","1165"
"FJ","NH","1165"
"AR","AS","1164"
"PK","DA","1164"
"TU","ET","1163"
"BE","CG","1163"
"JA","KG","1162"
"UK","BC","1161"
"PO","IN","1161"
"VM","BG","1160"
"BR","KS","1160"
"EI","NZ","1158"
"DA","VM","1157"
"QA","MY","1157"
"NL","EG","1156"
"UV","NG","1156"
"PM","UK","1155"
"AE","SZ","1155"
"UP","LY","1155"
"SW","VM","1155"
"FI","LG","1154"
"RS","CO","1154"
"IS","VE","1153"
"BL","MX","1153"
"GH","JA","1152"
"BR","ID","1152"
"NO","PK","1152"
"SA","AJ","1152"
"IC","CH","1151"
"SZ","BG","1151"
"AG","SU","1151"
"BG","MV","1151"
"BU","AM","1151"
"AM","BU","1151"
"SO","GM","1150"
"IN","KZ","1150"
"HU","MK","1150"
"SY","MU","1149"
"SI","RS","1149"
"IR","RP","1149"
"ET","ZI","1149"
"KE","ER","1148"
"GH","IT","1148"
"SP","NO","1148"
"VE","SY","1147"
"MP","SE","1147"
"SF","SP","1147"
"AM","CY","1146"
"IR","NU","1145"
"CI","EC","1145"
"RB","AU","1145"
"CA","FI","1145"
"AG","LE","1143"
"IS","VT","1143"
"PK","NL","1143"
"CI","NZ","1143"
"MZ","BC","1143"
"RI","IT","1142"
"ET","JA","1141"
"MV","BG","1141"
"AU","LY","1141"
"PK","LE","1139"
"BO","BE","1139"
"SG","CH","1138"
"EG","NO","1138"
"BR","SZ","1136"
"CH","SE","1136"
"SZ","EI","1136"
"BE","MO","1135"
"NI","SP","1135"
"FR","MA","1134"
"UK","BO","1134"
"BC","LT","1134"
"ES","BR","1134"
"BC","MZ","1133"
"SY","SF","1133"
"UK","OS","1132"
"TU","NZ","1132"
"AS","AR","1132"
"NI","AG","1131"
"BK","TU","1129"
"SW","EC","1128"
"LS","","1128"
"MT","GM","1127"
"SW","LH","1127"
"KS","SZ","1127"
"LH","BE","1126"
"BE","LE","1126"
"LI","UK","1125"
"US","SH","1125"
"SE","MP","1125"
"IR","HR","1124"
"MO","AE","1124"
"GV","GH","1124"
"SF","AG","1123"
"NC","FR","1123"
"CA","AG","1123"
"AF","EZ","1123"
"TZ","AO","1121"
"QA","MO","1121"
"CE","KS","1121"
"HR","PL","1120"
"IT","KU","1119"
"KN","SN","1119"
"FR","TO","1118"
"BC","UK","1117"
"IS","ER","1117"
"QA","TS","1117"
"BG","SN","1116"
